date,must_share_views,one_of_the_many_important_factors,not_a_major_issue,no_opinion
2024 May 1-23,32,45,19,4
2023 May 1-24,28,56,14,2
2022 May 2-22,27,54,16,3
2020 May 1-13,24,50,25,2
2019 Jun 3-16,27,48,24,1
2016 May 4-8,20,51,27,3
2015 May 6-10,19,49,28,4
2014 May 8-11,19,49,27,4
2012 Sep 24-27,17,45,34,4
2007 May 10-13,16,60,23,2
2004 Oct 14-16,17,46,35,2
2004 May 2-4,14,46,39,1
2001 May 10-14,21,52,25,2
2000 Mar 30-Apr 2,14,52,32,2
1999 Apr 30-May 2,19,52,26,3
1996 Jul 25-28,15,53,30,2
1996 Jul 18-21,17,50,30,4
1992 Jun 29,13,46,36,5
