issue (https://news.gallup.com/poll/651719/economy-important-issue-2024-presidential-vote.aspx),Extremely Important,Very Important,Somewhat Important,Not important
Economy,52,38,9,1
Democracy,49,36,11,4
Terrorism/National security,45,38,13,4
Supreme Court Nominees,45,34,16,3
Immigration,41,31,23,5
Education,38,47,12,4
Healthcare,37,42,17,3
Gun Policy,37,37,20,5
Abortion,37,29,21,12
Taxes,36,39,22,4
Crime,35,40,19,6
Income/Weath Distribution,34,32,20,12
Federal Budget Deficit,32,38,23,7
Foreign Affairs ,31,39,25,3
Israel–Hamas War,31,33,29,5
Energy Policy,27,36,31,5
Russia Relations,27,33,26,13
Race Relations ,27,29,26,18
China Relations,24,35,29,10
Trade,23,39,33,6
Climate Change,21,29,24,26
Transgender Rights,18,20,25,36
